yy,gear,flag,lond,latd,alb_mt,alb_no,bet_mt,bet_no,skj_mt,skj_no,yft_mt,yft_no
1953,L,JP,117.50,17.50,0.434,31,112.345,1890,0,0,188.118,4912
1953,L,JP,117.50,22.50,0.238,17,2.497,42,0,0,8.052,493
1953,L,JP,122.50,12.50,0,0,0,0,0,0,1.663,67
1953,L,JP,122.50,17.50,0.756,54,2.676,45,0.076,17,25.365,1022
1953,L,JP,122.50,22.50,0.560,40,1.427,24,0,0,23.164,917
1953,L,JP,122.50,27.50,0.056,4,0.356,6,0,0,4.900,194
1953,L,JP,122.50,32.50,0,0,0,0,0,0,0,0
1953,L,JP,127.50,2.50,0,0,41.463,716,0,0,74.113,2604
1953,L,JP,127.50,7.50,0.434,31,92.761,1590,0.112,25,65.972,2318
1953,L,JP,127.50,12.50,0.476,34,30.910,520,0,0,31.841,1283
1953,L,JP,127.50,17.50,0.560,40,1.605,27,0,0,5.757,232
1953,L,JP,127.50,22.50,1.624,116,7.787,131,0,0,143.323,5674
1953,L,JP,127.50,27.50,1.428,102,19.616,330,0.058,13,63.251,2504
1953,L,JP,127.50,32.50,0,0,0,0,0,0,0.299,10
1953,L,JP,132.50,2.50,8.677,620,258.870,4765,0.036,8,762.962,26807
1953,L,JP,132.50,7.50,0.154,11,1108.368,18702,0.076,17,709.256,24920
1953,L,JP,132.50,12.50,15.324,1095,15.812,266,0,0,33.826,1363
1953,L,JP,132.50,17.50,105.356,7528,139.332,2344,0.098,22,262.196,10565
1953,L,JP,132.50,22.50,55.183,3943,147.832,2487,0,0,231.049,9147
1953,L,JP,132.50,27.50,154.648,11050,197.346,3320,0.013,3,97.579,3863
1953,L,JP,132.50,32.50,396.694,28345,374.009,6292,0.299,67,48.164,1612
1953,L,JP,137.50,-2.50,0.741,48,23.661,395,0,0,206.582,7762
1953,L,JP,137.50,2.50,0,0,357.346,6103,0.013,3,541.619,19030
1953,L,JP,137.50,7.50,0.042,3,590.810,10167,0.054,12,401.818,14118
1953,L,JP,137.50,12.50,4.716,337,1.842,31,0.045,10,7.148,288
1953,L,JP,137.50,17.50,5.655,404,5.290,89,0,0,13.773,555
1953,L,JP,137.50,22.50,12.695,907,52.903,890,0,0,81.640,3232
1953,L,JP,137.50,27.50,1573.744,112449,486.056,8177,0.214,48,56.228,2226
1953,L,JP,137.50,32.50,3056.800,218418,2160.059,36339,0.098,22,244.022,8167
1953,L,JP,142.50,-2.50,9.254,624,58.966,992,0.058,13,330.065,13095
1953,L,JP,142.50,2.50,0.938,67,166.972,2809,0.045,10,269.621,9498
1953,L,JP,142.50,7.50,2.239,160,389.167,6547,0.058,13,330.567,11645
1953,L,JP,142.50,12.50,0.042,3,1.843,31,0,0,1.488,56
1953,L,JP,142.50,17.50,0,0,0.773,13,0,0,1.701,64
